(-0.211517,0.0853563)
(-0.21966,0.0559871)
(-0.212577,0.000999663)
(-0.186326,-0.087519)
(-0.143282,-0.196705)
(-0.0929472,-0.293527)
(-0.048987,-0.337724)
(-0.0237302,-0.301487)
(-0.0226453,-0.18598)
(-0.0414012,-0.0254859)
(-0.0669448,0.124298)
(-0.0822416,0.209393)
(-0.0727746,0.201564)
(-0.0322432,0.111623)
(0.0346473,-0.0148194)
(0.113194,-0.117692)
(0.182982,-0.149581)
(0.22391,-0.0968912)
(0.222067,0.0149126)
(0.173836,0.134345)
(0.0872764,0.208805)
(-0.019494,0.209319)
(-0.122483,0.143378)
(-0.197662,0.0500262)
(-0.227107,-0.0199469)
(-0.203881,-0.0287856)
(-0.134196,0.0305415)
(-0.0359285,0.132027)
(0.0663917,0.230288)
(0.14883,0.283063)
(0.19527,0.271343)
(0.202101,0.207498)
(0.178594,0.127898)
(0.142685,0.074227)
(0.113665,0.0730242)
(0.104585,0.123471)
(0.117363,0.199026)
(0.142597,0.26148)
(0.164149,0.279943)
(0.166587,0.245176)
(0.142333,0.172369)
(0.095467,0.0915826)
(0.0405116,0.031285)
(-0.00332096,0.0037742)
(-0.02,0)
(-0.00332096,-0.0037742)
(0.0405117,-0.031285)
(0.095467,-0.0915826)
(0.142333,-0.172369)
(0.166587,-0.245176)
(0.164149,-0.279943)
(0.142597,-0.26148)
(0.117363,-0.199026)
(0.104585,-0.123471)
(0.113665,-0.0730242)
(0.142685,-0.074227)
(0.178594,-0.127898)
(0.202101,-0.207498)
(0.19527,-0.271343)
(0.14883,-0.283063)
(0.0663917,-0.230288)
(-0.0359285,-0.132027)
(-0.134196,-0.0305415)
(-0.203881,0.0287856)
(-0.227107,0.0199469)
(-0.197662,-0.0500262)
(-0.122483,-0.143378)
(-0.019494,-0.209319)
(0.0872764,-0.208805)
(0.173836,-0.134345)
(0.222067,-0.0149126)
(0.22391,0.0968912)
(0.182982,0.149581)
(0.113194,0.117692)
(0.0346473,0.0148194)
(-0.0322432,-0.111623)
(-0.0727746,-0.201564)
(-0.0822416,-0.209393)
(-0.0669448,-0.124298)
(-0.0414012,0.0254859)
(-0.0226453,0.18598)
(-0.0237302,0.301487)
(-0.048987,0.337724)
(-0.0929472,0.293527)
(-0.143282,0.196705)
(-0.186326,0.087519)
(-0.212577,-0.000999682)
(-0.21966,-0.0559871)
(-0.211517,-0.0853563)
(-0.194529,-0.107386)
(-0.172854,-0.1363)
(-0.145599,-0.172421)
(-0.10746,-0.202267)
(-0.0525188,-0.207969)
(0.0208322,-0.179942)
(0.1066,-0.12493)
(0.191435,-0.0642754)
(0.258516,-0.0229782)
(0.293256,-0.0155687)
(0.288144,-0.0369655)
(0.244565,-0.0640014)
(0.171134,-0.067512)
(0.0799266,-0.0288911)
(-0.0171356,0.0478483)
(-0.109896,0.135531)
(-0.189326,0.195958)
(-0.246016,0.19911)
(-0.269841,0.139732)
(-0.252132,0.0424264)
(-0.189849,-0.0481034)
(-0.0895739,-0.0875959)
(0.0314376,-0.0538489)
(0.148727,0.0412026)
(0.237929,0.155234)
(0.282958,0.233872)
(0.281336,0.235347)
(0.244109,0.150058)
(0.190388,0.00592049)
(0.139286,-0.143071)
(0.103196,-0.239904)
(0.0854463,-0.248858)
(0.0827786,-0.170293)
(0.0903524,-0.0396421)
(0.105684,0.0885222)
(0.128913,0.163949)
